p1,p2
TrF0076/EF_1_25441112,TrF0076/EF_1_25441113
TrF0076/EF_1_25441113,TrF0076/EF_1_25441114
TrF0100/EF_2_26454139,TrF0100/EF_2_26454143
VaF0106/EF_3_26455230,VaF0106/EF_3_26455618
TrF0138/EF_9_26458017,TrF0138/EF_9_26458038
VaF0005/EF_10_26458129,VaF0005/EF_10_26458133
TeF0012/EF_11_26458613,TeF0012/EF_11_26458736
TeF0019/EF_12_26459046,TeF0019/EF_12_26459061
VaF0026/EF_13_26459097,VaF0026/EF_13_26459099
TrF0035/EF_14_26459112,TrF0035/EF_14_26459114
TeF0044/EF_15_26459138,TeF0044/EF_15_26459144
VaF0050/EF_16_26459603,VaF0050/EF_16_26459616
TrF0060/EF_17_26459677,TrF0060/EF_17_26459690
TrF0068/EF_18_26459842,TrF0068/EF_18_26459857
TrF0083/EF_20_26460902,TrF0083/EF_20_26460922
VaF0088/EF_21_26461763,VaF0088/EF_21_26461766
TrF0097/EF_23_26461786,TrF0097/EF_23_26461792
TrF0098/EF_25_26466279,TrF0098/EF_25_26466350
TrF0099/EF_29_26466857,TrF0099/EF_29_26466868
TrF0101/EF_31_26467037,TrF0101/EF_31_26467047
TeF0102/EF_33_26467256,TeF0102/EF_33_26467314
TeF0102/EF_33_26467281,TeF0102/EF_33_26467314
TrF0103/EF_34_26467448,TrF0103/EF_34_26467459
TrF0103/EF_34_26467448,TrF0103/EF_34_26467474
TrF0103/EF_34_26467459,TrF0103/EF_34_26467474
TrF0104/EF_36_26467800,TrF0104/EF_36_26467836
TrF0104/EF_36_26467808,TrF0104/EF_36_26467836
TrF0104/EF_36_26467817,TrF0104/EF_36_26467836
TrF0104/EF_36_26467800,TrF0104/EF_36_26467857
TrF0104/EF_36_26467808,TrF0104/EF_36_26467857
TrF0104/EF_36_26467817,TrF0104/EF_36_26467857
TrF0105/EF_37_26467887,TrF0105/EF_37_26467900
TrF0107/EF_40_26468156,TrF0107/EF_40_26468191
VaF0108/EF_41_26468206,VaF0108/EF_41_26468228
VaF0108/EF_41_26468228,VaF0108/EF_41_26468234
VaF0108/EF_41_26468228,VaF0108/EF_41_26468239
VaF0109/EF_43_26468544,VaF0109/EF_43_26468582
VaF0109/EF_43_26468525,VaF0109/EF_43_26468544
VaF0109/EF_43_26468507,VaF0109/EF_43_26468582
VaF0110/EF_48_26469870,VaF0110/EF_48_26469887
TrF0111/EF_49_26470105,TrF0111/EF_49_26470146
TrF0112/EF_54_26470696,TrF0112/EF_54_26470775
TrF0112/EF_54_26470696,TrF0112/EF_54_26470816
TrF0113/EF_55_26470684,TrF0113/EF_55_26470705
TeF0114/EF_58_26471004,TeF0114/EF_58_26471027
TrF0115/EF_59_26471087,TrF0115/EF_59_26471094
TrF0115/EF_59_26471094,TrF0115/EF_59_26471103
TrF0115/EF_59_26471087,TrF0115/EF_59_26471103
TeF0116/EF_60_26471268,TeF0116/EF_60_26471276
TeF0116/EF_60_26471276,TeF0116/EF_60_26471291
TrF0117/EF_62_26471529,TrF0117/EF_62_26471569
TrF0117/EF_62_26471497,TrF0117/EF_62_26471569
TeF0118/EF_64_26473272,TeF0118/EF_64_26473274
TeF0118/EF_64_26473272,TeF0118/EF_64_26473275
TeF0118/EF_64_26473274,TeF0118/EF_64_26473275
TrF0119/EF_64_26473278,TrF0119/EF_64_26473279
TrF0119/EF_64_26473279,TrF0119/EF_64_26473283
TrF0120/EF_65_26471925,TrF0120/EF_65_26471976
TrF0121/EF_67_26475477,TrF0121/EF_67_26475500
TeF0122/EF_68_26474970,TeF0122/EF_68_26474994
TrF0123/EF_70_26475623,TrF0123/EF_70_26475632
VaF0124/EF_72_26476460,VaF0124/EF_72_26476463
VaF0124/EF_72_26476460,VaF0124/EF_72_26476463
TeF0125/EF_73_26476497,TeF0125/EF_73_26476498
TeF0125/EF_73_26476497,TeF0125/EF_73_26476499
TeF0125/EF_73_26476498,TeF0125/EF_73_26476499
TeF0126/EF_74_26490800,TeF0126/EF_74_26490809
TrF0127/EF_75_26490919,TrF0127/EF_75_26490928
TrF0128/EF_76_26491089,TrF0128/EF_76_26491116
TrF0129/EF_78_26491373,TrF0129/EF_78_26491381
TeF0130/EF_79_26491436,TeF0130/EF_79_26491443
TrF0131/EF_79_26491420,TrF0131/EF_79_26491452
TeF0132/EF_80_26491736,TeF0132/EF_80_26491744
TrF0133/EF_81_26491847,TrF0133/EF_81_26491864
TrF0133/EF_81_26491864,TrF0133/EF_81_26491874
TrF0134/EF_89_26492441,TrF0134/EF_89_26492471
TrF0135/EF_90_26492602,TrF0135/EF_90_26492609
TrF0136/EF_93_26493887,TrF0136/EF_93_26493889
TeF0137/EF_97_26499306,TeF0137/EF_97_26499310
TeF0001/EF_100_26502599,TeF0001/EF_100_26502600
